CWE_ID,CWE name,Availability,Confidentiality,Integrity,Access Control,Non-Repudiation,Other-Impact
CWE-776,776,1,0,0,0,0,0
CWE-78,78,1,1,1,0,1,0
CWE-20,20,1,1,1,0,0,0
CWE-295,295,0,0,1,0,0,0
CWE-200,200,0,1,0,0,0,0
CWE-787,787,1,0,1,0,0,1
CWE-400,400,1,0,0,1,0,1
CWE-476,476,1,1,1,0,0,0
CWE-284,284,0,0,0,0,0,1
CWE-119,119,1,1,1,0,0,0
CWE-770,770,1,0,0,0,0,0
CWE-834,834,1,0,0,0,0,0
CWE-190,190,1,1,1,1,0,1
CWE-416,416,1,1,1,0,0,0
CWE-835,835,1,0,0,0,0,0
CWE-1333,1333,1,0,0,0,0,0
CWE-79,79,1,1,1,1,0,0
CWE-502,502,1,0,1,0,0,1
CWE-125,125,1,1,0,0,0,1
CWE-327,327,0,1,1,0,1,0
CWE-120,120,1,1,1,0,0,0
CWE-22,22,1,1,1,0,0,0
CWE-287,287,1,1,1,1,0,0
CWE-209,209,0,1,0,0,0,0
CWE-74,74,0,1,1,1,1,1
CWE-522,522,0,0,0,1,0,0
CWE-59,59,0,1,1,1,0,1
CWE-362,362,1,1,1,1,0,0
CWE-89,89,1,1,1,1,0,0
CWE-434,434,1,1,1,0,0,0
CWE-862,862,1,1,1,1,0,0
CWE-312,312,0,1,0,0,0,0
CWE-611,611,1,1,1,0,0,0
CWE-1321,1321,1,0,1,0,0,0
CWE-88,88,1,1,1,0,0,1
CWE-601,601,0,1,0,1,0,1
CWE-330,330,0,1,0,1,0,1
CWE-369,369,1,0,0,0,0,0
CWE-444,444,0,0,1,1,1,0
CWE-352,352,1,1,1,1,1,0
CWE-415,415,1,1,1,0,0,0
CWE-674,674,1,1,0,0,0,0
CWE-754,754,1,0,1,0,0,0
CWE-640,640,1,0,1,1,0,1
CWE-401,401,1,0,0,0,0,1
CWE-668,668,0,1,1,0,0,1
CWE-122,122,1,1,1,1,0,1
CWE-704,704,0,0,0,0,0,1
CWE-665,665,1,1,0,1,0,0
CWE-290,290,0,0,0,1,0,0
CWE-203,203,0,1,0,1,0,0
CWE-252,252,1,0,1,0,0,0
CWE-908,908,1,1,0,0,0,0
CWE-134,134,1,1,1,0,0,0
CWE-354,354,0,0,1,0,1,1
CWE-617,617,1,0,0,0,0,0
CWE-129,129,1,1,1,0,0,0
CWE-319,319,0,1,1,0,0,0
CWE-195,195,0,0,1,0,0,0
CWE-843,843,1,1,1,0,0,0
CWE-732,732,0,1,1,1,0,1
CWE-94,94,1,1,1,1,1,0
CWE-347,347,0,1,1,1,0,0
CWE-755,755,0,0,0,0,0,1
CWE-706,706,0,1,1,0,0,0
CWE-345,345,0,0,1,0,0,1
CWE-77,77,1,1,1,0,0,0
CWE-276,276,0,1,1,0,0,0
CWE-681,681,0,0,1,0,0,1
CWE-863,863,1,1,1,1,0,0
CWE-697,697,0,0,0,0,0,1
CWE-824,824,1,1,1,0,0,0
CWE-1284,1284,0,0,0,0,0,1
CWE-193,193,1,1,1,1,0,0
CWE-763,763,1,1,1,0,0,0
CWE-191,191,1,1,1,1,0,0
CWE-662,662,0,1,1,0,0,1
CWE-121,121,1,1,1,1,0,1
CWE-823,823,1,1,1,0,0,0
CWE-639,639,0,0,0,1,0,0
CWE-126,126,0,1,0,0,0,0
CWE-918,918,0,1,1,1,0,0
CWE-306,306,0,0,0,1,0,1
CWE-367,367,0,0,1,0,1,1
CWE-131,131,1,1,1,0,0,0
CWE-772,772,1,0,0,0,0,0
CWE-115,115,0,0,1,0,0,0
CWE-404,404,1,1,0,0,0,1
CWE-426,426,1,1,1,1,0,0
CWE-436,436,0,0,1,0,0,1
CWE-130,130,0,1,1,0,0,0
CWE-311,311,0,1,1,0,0,0
CWE-610,610,0,1,1,0,0,0
