Index,CVE,title,repository,date,Issue_ID
0,CVE-2021-35958,CVE-2021-35958 vulnerability in the latest v2.17,tensorflow/tensorflow,2024-07-22T08:49:34Z,https://api.github.com/repos/tensorflow/tensorflow/issues/72282
2,CVE-2023-46218,Update curl from 8.4.0 to 8.6.0 due to security vulnerabilities CVE-2023-46219 and CVE-2023-46218,tensorflow/tensorflow,2024-06-14T20:06:23Z,https://api.github.com/repos/tensorflow/tensorflow/issues/69799
2,CVE-2023-46219,Update curl from 8.4.0 to 8.6.0 due to security vulnerabilities CVE-2023-46219 and CVE-2023-46218,tensorflow/tensorflow,2024-06-14T20:06:23Z,https://api.github.com/repos/tensorflow/tensorflow/issues/69799
165,CVE-2022-27776,Update curl to 7.83 for security fixes,tensorflow/tensorflow,2022-04-27T15:49:27Z,https://api.github.com/repos/tensorflow/tensorflow/issues/55772
165,CVE-2022-27774,Update curl to 7.83 for security fixes,tensorflow/tensorflow,2022-04-27T15:49:27Z,https://api.github.com/repos/tensorflow/tensorflow/issues/55772
165,CVE-2022-27775,Update curl to 7.83 for security fixes,tensorflow/tensorflow,2022-04-27T15:49:27Z,https://api.github.com/repos/tensorflow/tensorflow/issues/55772
165,CVE-2022-22576,Update curl to 7.83 for security fixes,tensorflow/tensorflow,2022-04-27T15:49:27Z,https://api.github.com/repos/tensorflow/tensorflow/issues/55772
209,CVE-2017-5754,1.3.0-py3 flagged by security issue CVE-2017-5754,tensorflow/tensorflow,2018-01-30T21:25:52Z,https://api.github.com/repos/tensorflow/tensorflow/issues/16603
234,CVE-2024-5480,CVE-2024-5480 reported by security analyzers,pytorch/pytorch,2024-06-21T11:12:18Z,https://api.github.com/repos/pytorch/pytorch/issues/129228
239,CVE-2021-29063,multiple vulnerabilities in cached wheels on downloads.pytorch.org,pytorch/pytorch,2024-01-23T21:23:56Z,https://api.github.com/repos/pytorch/pytorch/issues/118128
286,CVE-2021-33502,"Fix vulnerability alert, updating normalize-url dependency.",netdata/netdata,2021-06-30T13:04:18Z,https://api.github.com/repos/netdata/netdata/issues/11304
323,CVE-2019-11358,jQuery vulnerability,keras-team/keras,2021-07-28T22:57:49Z,https://api.github.com/repos/keras-team/keras/issues/15020
324,CVE-2023-4863,vulnerability issue with LibWebP.dll file,tesseract-ocr/tesseract,2023-10-05T11:23:17Z,https://api.github.com/repos/tesseract-ocr/tesseract/issues/4140
325,CVE-2023-4863,Vulnerability : Tesseract module using libwebp-7.dll which is vulnerable. ,tesseract-ocr/tesseract,2023-10-02T18:32:09Z,https://api.github.com/repos/tesseract-ocr/tesseract/issues/4134
338,CVE-2020-11023,Packaged jQuery version is vulnerable,scikit-learn/scikit-learn,2021-09-02T19:01:14Z,https://api.github.com/repos/scikit-learn/scikit-learn/issues/20922
354,CVE-2021-44732,"mbedtls-security-advisory-2021-07-1, -2021-07-2. CVE-2021-44732. Update to Mbed TLS 2.28.0 ",JuliaLang/julia,2022-01-06T05:47:41Z,https://api.github.com/repos/JuliaLang/julia/issues/43677
378,CVE-2024-24786,fix a vulnerability in protobuf for pgbouncer_exporter,apache/airflow,2024-06-18T16:03:57Z,https://api.github.com/repos/apache/airflow/issues/40303
442,CVE-2022-40897,Require newer version of pypi/setuptools to remove security scan issue (CVE-2022-40897),apache/airflow,2023-02-08T15:11:54Z,https://api.github.com/repos/apache/airflow/issues/29428
445,CVE-2018-25031,swagger-ui version causes security findings,apache/airflow,2022-09-26T21:00:58Z,https://api.github.com/repos/apache/airflow/issues/26686
445,CVE-2019-17495,swagger-ui version causes security findings,apache/airflow,2022-09-26T21:00:58Z,https://api.github.com/repos/apache/airflow/issues/26686
449,CVE-2020-11022,Flower is using old/vulnerable jQuery 1.7.2,apache/airflow,2022-08-10T14:49:32Z,https://api.github.com/repos/apache/airflow/issues/25645
449,CVE-2020-11023,Flower is using old/vulnerable jQuery 1.7.2,apache/airflow,2022-08-10T14:49:32Z,https://api.github.com/repos/apache/airflow/issues/25645
482,CVE-2020-7753,Bump stylelint to remove vulnerable sub-dependency,apache/airflow,2021-05-11T23:45:37Z,https://api.github.com/repos/apache/airflow/issues/15784
