CVE ID,GHIssue,CWE name,CVE severity,CPE dependency name ,CPE dependency version,Description,Related attacks,Availability,Confidentiality,Integrity,Access Control,Non-Repudiation,Other,Categories path
CVE-2003-1564,https://api.github.com/repos/open-metadata/OpenMetadata/issues/2529,CWE-776,medium,xmlsoft:libxml2,*,"libxml2, possibly before 2.5.0, does not properly detect recursion during entity expansion, which allows context-dependent attackers to cause a denial of service (memory and CPU consumption) via a crafted XML document containing a large number of nested entity references, aka the ""billion laughs attack.""","Denial of Service (DoS),  XML Injection attack ",1,1,1,0,0,0,"Availability, Confidentiality, Integrity"
CVE-2003-1564,431,CWE-776,medium,xmlsoft:libxml2,*,"libxml2, possibly before 2.5.0, does not properly detect recursion during entity expansion, which allows context-dependent attackers to cause a denial of service (memory and CPU consumption) via a crafted XML document containing a large number of nested entity references, aka the ""billion laughs attack.""","Denial of Service (DoS),  XML Injection attack ",1,1,1,0,0,0,"Availability, Confidentiality, Integrity"
CVE-2015-6396,https://api.github.com/repos/nmap/nmap/issues/1452,CWE-78,high,[], ,"The CLI command parser on Cisco RV110W, RV130W, and RV215W devices allows local users to execute arbitrary shell commands as an administrator via crafted parameters, aka Bug IDs CSCuv90134, CSCux58161, and CSCux73567.",Arbitrary code attack ,0,1,1,0,0,0,"Confidentiality, Integrity"
CVE-2016-10228,https://api.github.com/repos/mlrun/mlrun/issues/1997,CWE-20,medium,gnu:glibc,*,"The iconv program in the GNU C Library (aka glibc or libc6) 2.31 and earlier, when invoked with multiple suffixes in the destination encoding (TRANSLATE or IGNORE) along with the -c option, enters an infinite loop when processing invalid multi-byte input sequences, leading to a denial of service.",Denial of Service (DoS),1,0,0,0,0,0,Availability
CVE-2016-1585,https://api.github.com/repos/triton-inference-server/server/issues/5383,CWE-254,critical,canonical:apparmor,*,In all versions of AppArmor mount rules are accidentally widened when compiled.,Privilege escalation attack,0,0,0,0,0,0,
CVE-2016-2402,https://api.github.com/repos/h2oai/h2o-3/issues/6595,CWE-295,medium,squareup:okhttp3,3.0.0,OkHttp before 2.7.4 and 3.x before 3.1.2 allows man-in-the-middle attackers to bypass certificate pinning by sending a certificate chain with a certificate from a non-pinned trusted CA and the pinned certificate.,Bypass authentication attack,0,0,0,0,0,0,
CVE-2016-2779,https://api.github.com/repos/kubeflow/kubeflow/issues/3531,CWE-264,high,kernel:util-linux,2.24.2-1,"runuser in util-linux allows local users to escape to the parent session via a crafted TIOCSTI ioctl call, which pushes characters to the terminal's input buffer.",Privilege escalation attack,0,1,1,1,0,0,"Confidentiality, Integrity, Access Control"
CVE-2016-2779,https://api.github.com/repos/kubeflow/pipelines/issues/1545,CWE-264,high,kernel:util-linux,2.24.2-1,"runuser in util-linux allows local users to escape to the parent session via a crafted TIOCSTI ioctl call, which pushes characters to the terminal's input buffer.",Privilege escalation attack,0,1,1,1,0,0,"Confidentiality, Integrity, Access Control"
CVE-2016-3086,https://api.github.com/repos/4paradigm/OpenMLDB/issues/387,CWE-200,critical,apache:hadoop,2.6.0,The YARN NodeManager in Apache Hadoop 2.6.x before 2.6.5 and 2.7.x before 2.7.3 can leak the password for credential store provider used by the NodeManager to YARN Applications.,Information disclosure attack,0,0,0,0,0,0,
CVE-2016-5180,https://api.github.com/repos/ray-project/ray/issues/11765,CWE-787,critical,c-ares_project:c-ares,1.11.0,Heap-based buffer overflow in the ares_create_query function in c-ares 1.x before 1.12.0 allows remote attackers to cause a denial of service (out-of-bounds write) or possibly execute arbitrary code via a hostname with an escaped trailing dot.,"Denial of Service (DoS), Remote code execution (RCE) attack, Arbitrary code attack ",1,1,1,0,0,0,"Availability, Confidentiality, Integrity"
CVE-2016-6307,https://api.github.com/repos/4paradigm/OpenMLDB/issues/1723,CWE-400,medium,openssl:openssl,1.1.0,"The state-machine implementation in OpenSSL 1.1.0 before 1.1.0a allocates memory before checking for an excessive length, which might allow remote attackers to cause a denial of service (memory consumption) via crafted TLS messages, related to statem/statem.c and statem/statem_lib.c.","Denial of Service (DoS), Remote code execution (RCE) attack",1,0,0,0,0,0,Availability
CVE-2016-6308,https://api.github.com/repos/4paradigm/OpenMLDB/issues/1723,CWE-399,medium,openssl:openssl,1.1.0,"statem/statem_dtls.c in the DTLS implementation in OpenSSL 1.1.0 before 1.1.0a allocates memory before checking for an excessive length, which might allow remote attackers to cause a denial of service (memory consumption) via crafted DTLS messages.","Denial of Service (DoS), Remote code execution (RCE) attack",1,0,0,0,0,0,Availability
CVE-2016-7053,https://api.github.com/repos/4paradigm/OpenMLDB/issues/1723,CWE-476,high,openssl:openssl,1.1.0b,"In OpenSSL 1.1.0 before 1.1.0c, applications parsing invalid CMS structures can crash with a NULL pointer dereference. This is caused by a bug in the handling of the ASN.1 CHOICE type in OpenSSL 1.1.0 which can result in a NULL value being passed to the structure callback if an attempt is made to free certain invalid encodings. Only CHOICE structures using a callback which do not handle NULL value are affected.", NULL pointer dereference attack ,0,1,1,0,0,0,"Confidentiality, Integrity"
CVE-2016-7054,https://api.github.com/repos/4paradigm/OpenMLDB/issues/1723,CWE-284,high,openssl:openssl,1.1.0b,"In OpenSSL 1.1.0 before 1.1.0c, TLS connections using *-CHACHA20-POLY1305 ciphersuites are susceptible to a DoS attack by corrupting larger payloads. This can result in an OpenSSL crash. This issue is not considered to be exploitable beyond a DoS.",Denial of Service (DoS),1,0,0,0,0,0,Availability
